Evolution of average Monte Carlo cross-section (in Angstrom^2) for each inelastic channel during the trajectories sampling procedure.
Traj#          Ch#1                 Ch#2                 Ch#3                 Ch#4                 Ch#5                 Ch#6                 Ch#7                 Ch#8                 Ch#9
   20   0.852575296463E+03   0.148732174243E+01   0.224447878254E+00   0.158075508654E+01   0.315798949944E+01   0.215281008789E-01   0.218031168636E+00   0.291302875605E-01   0.137307854139E-01
   21   0.861400277087E+03   0.141652245992E+01   0.232367067940E+00   0.150550911766E+01   0.317434830195E+01   0.205481499922E-01   0.226517989809E+00   0.285331573612E-01   0.131238974139E-01
   22   0.825816295799E+03   0.306070784920E+01   0.351714664883E+00   0.333544839046E+01   0.311896358026E+01   0.339927063121E-01   0.275455559554E+00   0.379224555546E-01   0.151423308413E-01
   23   0.792372255535E+03   0.431791413272E+01   0.452026520193E+00   0.465973798555E+01   0.304868999696E+01   0.458504153400E-01   0.325959816186E+00   0.445285499673E-01   0.159877607853E-01
   24   0.787229813044E+03   0.435030541567E+01   0.449680391958E+00   0.465379124048E+01   0.299079406556E+01   0.461680594539E-01   0.330596040717E+00   0.455448246378E-01   0.165296981741E-01
   25   0.798767124661E+03   0.417630899205E+01   0.446831695065E+00   0.446764834180E+01   0.297214514894E+01   0.443543730792E-01   0.332673545897E+00   0.445304993873E-01   0.159101967136E-01
   26   0.769889770710E+03   0.510394118705E+01   0.521775393888E+00   0.540338759133E+01   0.290593766751E+01   0.537679495877E-01   0.372533372560E+00   0.489297420710E-01   0.162987257044E-01
   27   0.746399974946E+03   0.629326809352E+01   0.578346644214E+00   0.674516689338E+01   0.286720611532E+01   0.621362916360E-01   0.385991877993E+00   0.563628597497E-01   0.192698911935E-01
   28   0.761149372429E+03   0.606851517658E+01   0.568007231278E+00   0.650426916404E+01   0.292395341053E+01   0.599389843023E-01   0.382602502296E+00   0.550881668157E-01   0.186052400791E-01
   29   0.763739240768E+03   0.585975587080E+01   0.557056668910E+00   0.628035526369E+01   0.294840613317E+01   0.580555055154E-01   0.378005359246E+00   0.537716910486E-01   0.179999306077E-01
   30   0.771436154157E+03   0.566446328388E+01   0.551719820729E+00   0.607106151520E+01   0.298053346264E+01   0.561586598608E-01   0.378856790145E+00   0.523407201998E-01   0.174278625169E-01
   31   0.788138631393E+03   0.548173980525E+01   0.539726657374E+00   0.587522151208E+01   0.299224887759E+01   0.543602264259E-01   0.372420342015E+00   0.515718617687E-01   0.169021366817E-01
   33   0.742323457588E+03   0.635651706553E+01   0.609131165983E+00   0.665229926210E+01   0.286030897840E+01   0.646421774025E-01   0.412559206293E+00   0.543595837792E-01   0.167328920148E-01
   36   0.733280245898E+03   0.666150401145E+01   0.592616775926E+00   0.692799253219E+01   0.274842318463E+01   0.658379785176E-01   0.415817456416E+00   0.555059589147E-01   0.199444914759E-01
   37   0.750545100885E+03   0.648146382137E+01   0.580193745851E+00   0.674075102019E+01   0.283620871111E+01   0.640660709502E-01   0.408104668096E+00   0.544310321743E-01   0.194410453533E-01
   38   0.738928240411E+03   0.688852440496E+01   0.574851866520E+00   0.732846446015E+01   0.277451456004E+01   0.641752403857E-01   0.404355494078E+00   0.573645971062E-01   0.246775755054E-01
   39   0.730048574379E+03   0.696313626982E+01   0.567314772951E+00   0.748738635956E+01   0.271831396691E+01   0.660167370890E-01   0.405241037539E+00   0.598628283641E-01   0.291569656898E-01
   40   0.738059571430E+03   0.678906982792E+01   0.562824870413E+00   0.730021240642E+01   0.272966540378E+01   0.643889295698E-01   0.404928952791E+00   0.588228456559E-01   0.284532955907E-01
   41   0.750250717951E+03   0.662348447557E+01   0.554005400434E+00   0.712215883819E+01   0.279834009484E+01   0.628300660899E-01   0.399980356548E+00   0.577548038591E-01   0.277731429567E-01
   42   0.743060774591E+03   0.796479261763E+01   0.542744458618E+00   0.836248868760E+01   0.276824002389E+01   0.690387753707E-01   0.394718186082E+00   0.632847320392E-01   0.309645550869E-01
   44   0.752600835536E+03   0.760286819545E+01   0.536232718171E+00   0.798250530283E+01   0.277344768192E+01   0.659673254740E-01   0.395209805336E+00   0.609883927951E-01   0.295863202437E-01
   45   0.770685480816E+03   0.743391588619E+01   0.524848816100E+00   0.780512141156E+01   0.275068203463E+01   0.645018828212E-01   0.386925828622E+00   0.604455038845E-01   0.289527372814E-01
   46   0.781543891711E+03   0.727231002694E+01   0.517501649607E+00   0.763544524163E+01   0.277751548159E+01   0.631092125557E-01   0.382574770922E+00   0.595908063988E-01   0.283434773106E-01
   47   0.772015524794E+03   0.755303078703E+01   0.514483184303E+00   0.799399319923E+01   0.272959491881E+01   0.631493570921E-01   0.380479785456E+00   0.615430357817E-01   0.322617797212E-01
   48   0.786439084152E+03   0.739567638836E+01   0.505481811021E+00   0.782745271997E+01   0.278902362254E+01   0.618369649367E-01   0.374220138266E+00   0.607081125620E-01   0.316071203687E-01
   49   0.780658501798E+03   0.815827242648E+01   0.497901893156E+00   0.853288331834E+01   0.276137696559E+01   0.657807314267E-01   0.371008238370E+00   0.630344000546E-01   0.337603006796E-01
   50   0.785181847878E+03   0.799512284069E+01   0.495854243626E+00   0.836224980176E+01   0.278536977589E+01   0.644868059255E-01   0.371626665273E+00   0.620136088661E-01   0.331029181009E-01
   51   0.772588060076E+03   0.855849953115E+01   0.524031893441E+00   0.900814338221E+01   0.276577244480E+01   0.685543220737E-01   0.377719319473E+00   0.655925111480E-01   0.344316289020E-01
   52   0.758706400631E+03   0.896267327881E+01   0.561879834469E+00   0.942112000234E+01   0.273823093570E+01   0.729283807946E-01   0.397396181131E+00   0.675993831896E-01   0.343205676274E-01
   53   0.769062830651E+03   0.879356674776E+01   0.554522043409E+00   0.924336358583E+01   0.274918055788E+01   0.715593521506E-01   0.393122377313E+00   0.669297227356E-01   0.336967702826E-01
   54   0.781242954252E+03   0.863072328220E+01   0.546162243794E+00   0.907219142407E+01   0.281570693690E+01   0.702377778462E-01   0.387699663780E+00   0.662292988207E-01   0.330915084430E-01
   55   0.779481113266E+03   0.853944639624E+01   0.542858563102E+00   0.895958317434E+01   0.279787084485E+01   0.697874128826E-01   0.387950141102E+00   0.659829922599E-01   0.328766110949E-01
   56   0.779937849127E+03   0.838729855742E+01   0.536603290759E+00   0.880049424942E+01   0.282438166384E+01   0.686870854710E-01   0.384427667541E+00   0.651163858474E-01   0.323198920469E-01
   57   0.782766282694E+03   0.824020993876E+01   0.534129011452E+00   0.864615433023E+01   0.281823337069E+01   0.675101652846E-01   0.384719915541E+00   0.642301393152E-01   0.317634970447E-01
   58   0.772882807623E+03   0.875293957819E+01   0.546543936525E+00   0.933761160250E+01   0.278698570647E+01   0.684092135579E-01   0.382016016628E+00   0.653599613562E-01   0.339831801151E-01
